Crop,Latitude,Longitude,Season,Year
Rice,8.55031685098338,81.45091921162627,Kharif,2021
Maize,12.430166466081898,81.0994232638972,Whole Year,2010
Groundnut,11.494926119634217,77.43157998534467,Rabi,2007
Groundnut,12.148456967128599,80.39249387228922,Rabi,2001
Rice,11.586866039101801,80.65151578469245,Kharif,2024
Cotton,10.669197874882776,77.52297538635919,Rabi,2024
Rice,13.281719950734471,80.15854154243863,Rabi,2013
Rice,11.127757469015535,80.58136202591643,Kharif,2001
Rice,8.981141939062665,77.68971550874956,Rabi,2000
Maize,11.614996316154308,77.43956189161683,Rabi,2007
Maize,11.126490926244768,78.50132837037708,Whole Year,2002
Maize,12.817158403330907,80.46431087793268,Whole Year,2000
Cotton,8.31943929958691,77.56678950086784,Rabi,2002
Maize,10.395953253118993,80.6793973221142,Whole Year,2011
Maize,8.938439540436397,77.48009157493637,Rabi,2024
Rice,10.779673277642813,77.77655409561852,Rabi,2020
Maize,8.766440468582555,77.51223725989203,Rabi,2015
Groundnut,8.74970330099393,77.17054342875542,Whole Year,2014
Rice,12.549476842669444,81.49477641061164,Rabi,2001
Groundnut,8.053845667141951,80.00270624791301,Rabi,2005
Maize,9.309088875854187,78.28715975862782,Whole Year,2010
Maize,12.44134728287349,77.83317489534205,Rabi,2009
Rice,9.323916674281005,79.74760469726291,Kharif,2003
Maize,9.420329715760145,80.57686163954769,Kharif,2006
Cotton,8.182197545643128,79.92151219291223,Whole Year,2017
Maize,9.367392812484196,77.83338423199054,Rabi,2001
Maize,10.005918746671535,80.82810494225606,Rabi,2024
Groundnut,12.863080070294089,77.74167684928898,Whole Year,2002
Maize,12.395863236555794,77.76675913406042,Rabi,2008
Maize,10.093868548466471,81.41062527425224,Rabi,2022
Maize,10.737789052029013,80.28055996641487,Kharif,2016
Rice,12.282380177753714,78.59007538321966,Whole Year,2021
Maize,8.711456353887057,80.21673456791174,Rabi,2014
Rice,8.806669038385234,80.5785376606148,Rabi,2008
Rice,9.935236649620137,80.88369419169973,Rabi,2011
Rice,13.313822029588312,79.68971179646468,Kharif,2020
Cotton,8.11951523040978,78.05125152086902,Whole Year,2010
Maize,11.760939104798217,81.19816267695893,Kharif,2002
Rice,11.697778212897694,79.0430198743125,Whole Year,2008
Rice,11.052664355626533,78.79588432197468,Whole Year,2012
Rice,8.57852325883611,78.36138437167014,Rabi,2024
Rice,12.378511090475453,78.45183521741244,Rabi,2002
Rice,12.339645092704192,77.0650958117873,Rabi,2019
Maize,10.952764411756728,78.82148803022746,Rabi,2015
Rice,11.3726793751093,80.48299093506532,Kharif,2006
Maize,12.349674426441608,78.20253499632744,Rabi,2020
Rice,12.533804329027435,79.4238507082986,Rabi,2001
Rice,9.533645840318941,79.12700998664731,Rabi,2015
Rice,10.892059179129165,80.93590591722892,Whole Year,2011
Rice,12.276366517394928,81.14002733700156,Rabi,2008
Rice,9.852782247109824,80.09727372008999,Kharif,2002
Cotton,9.136027773220446,80.68703340020804,Kharif,2008
Groundnut,9.485739159889235,80.05610840362299,Kharif,2015
Groundnut,11.276226314988296,80.9078432719638,Whole Year,2010
Rice,12.009423083231034,79.50470431014828,Whole Year,2017
Cotton,11.057305935007166,80.00002325874117,Whole Year,2011
Maize,10.081900100370786,80.25188507502827,Whole Year,2024
Rice,10.715211639651974,79.74821019021006,Whole Year,2008
Cotton,9.888201618373015,77.97227388530655,Rabi,2009
Cotton,8.28890340909741,80.69496373081216,Kharif,2016
Cotton,9.780884220634327,78.53443161542168,Rabi,2001
Maize,12.091472412752093,79.57864332571093,Whole Year,2005
